x [cm],By [g * s^-2 * A^-1]
0.0247734138972811,2.22044604925031E-16
0.11178247734139,2.22044604925031E-16
0.125075528700906,2.22044604925031E-16
0.131117824773414,0.0479452054794522
0.13595166163142,0.136986301369863
0.139577039274925,0.178082191780822
0.144410876132931,0.0753424657534247
0.149244712990937,-0.335616438356165
0.157703927492447,-0.780821917808219
0.170996978851964,-0.86986301369863
0.186706948640483,-0.945205479452055
0.202416918429003,-0.993150684931507
0.212084592145015,-1
0.238670694864048,-0.86986301369863
0.247129909365559,-0.767123287671233
0.259214501510574,-0.671232876712329
0.268882175226586,-0.623287671232877
0.2797583081571,-0.527397260273973
0.283383685800604,-0.328767123287671
0.28821752265861,-0.0958904109589041
0.291842900302115,0.0958904109589043
0.295468277945619,0.321917808219178
0.300302114803625,0.616438356164384
0.30392749244713,0.828767123287671
0.306344410876133,1.01369863013699
0.308761329305136,1.1027397260274
0.311178247734139,1.16438356164384
0.316012084592145,1.15753424657534
0.322054380664653,1.06164383561644
0.332930513595166,0.876712328767124
0.347432024169184,0.609589041095891
0.357099697885196,0.479452054794521
0.369184290030211,0.410958904109589
0.382477341389728,0.404109589041096
0.399395770392749,0.417808219178082
0.421148036253777,0.424657534246576
0.583081570996979,0.424657534246576
0.601208459214502,0.417808219178082
0.614501510574018,0.404109589041096
0.625377643504532,0.404109589041096
0.63987915407855,0.452054794520548
0.64833836858006,0.561643835616439
0.660422960725075,0.767123287671233
0.672507552870091,0.986301369863014
0.6797583081571,1.0958904109589
0.682175226586103,1.13698630136986
0.684592145015106,1.15068493150685
0.690634441087613,1.06849315068493
0.696676737160121,0.780821917808219
0.701510574018127,0.424657534246576
0.706344410876133,0.123287671232877
0.713595166163142,-0.226027397260274
0.71963746223565,-0.541095890410959
0.726888217522659,-0.582191780821918
0.730513595166163,-0.636986301369863
0.736555891238671,-0.65068493150685
0.748640483383686,-0.753424657534247
0.760725075528701,-0.883561643835617
0.772809667673716,-0.958904109589041
0.787311178247734,-1
0.798187311178248,-0.993150684931507
0.811480362537764,-0.952054794520548
0.827190332326284,-0.86986301369863
0.841691842900302,-0.787671232876712
0.846525679758308,-0.65068493150685
0.853776435045317,-0.164383561643836
0.85619335347432,0.0547945205479452
0.857401812688822,0.136986301369863
0.859818731117825,0.171232876712329
0.864652567975831,0.13013698630137
0.868277945619335,0.0410958904109588
0.874320241691843,2.22044604925031E-16
0.886404833836858,2.22044604925031E-16
0.927492447129909,2.22044604925031E-16
0.979456193353474,2.22044604925031E-16
