# R [h^-1 Mpc], S [keV h^-2 cm^2]
0.02532334820659387, 18.658664281116415
0.0262430365020812, 19.379080441170494
0.027196125853146014, 20.170150618524662
0.02818382931264455, 20.993512938294945
0.029207403988844083, 21.842040552870667
0.030268152645418454, 22.742440583199127
0.03136742535955217, 23.657084375555222
0.03250662124026278, 24.622786230680124
0.03368719020912944, 25.622955867948182
0.03491063484569312, 26.6585989108688
0.036178512299878104, 27.74146260277447
0.03749243627386818, 28.879473556606786
0.038854079075960314, 30.03512753592241
0.040265173749009724, 31.237026683706542
0.04172751627617544, 32.34917241797587
0.0432429678667737, 33.526825067636985
0.04481345732514833, 34.72720705460065
0.04644098350557375, 35.970567072192644
0.04812761785631392, 37.26564602440962
0.04987550705607678, 38.62228001228843
0.05168687574621804, 40.23774124901132
0.053564029362173436, 41.96941641753095
0.05550935706772161, 43.77561611939136
0.05752533479581356, 45.65072321975329
0.059614528399838, 47.615351982968264
0.06177959691933385, 49.66453069205537
0.06402329596430621, 51.79188656713497
0.06634848122245313, 54.031249340532085
0.06875811209376749, 56.35654320402382
0.07125525545713905, 58.7591898877582
0.07384308957375194, 61.2524283082932
0.07652490813224404, 63.826780400584205
0.07930412444077876, 66.52218522644235
0.08218427577136243, 69.22429494078924
0.08516902786193882, 71.980491427036
0.08826217958198916, 74.84642711795493
0.09146766776757671, 77.81143021840522
0.09478957223198951, 80.87825647208776
0.09823212095835863, 84.08220742115354
0.10179969548086092, 87.39618739122974
0.10549683646135512, 90.73549611521734
0.10932824946854927, 94.16598753972622
0.11329881096705453, 97.76396261255954
0.11741357452394861, 101.49941221269262
0.12167777724074763, 105.37758908514832
0.1260968464189731, 109.40394667635054
0.13067640646779777, 113.54024742907998
0.13542228606256182, 117.8784908934817
0.14034052556327067, 122.42981184995563
0.14543738470251644, 127.1077154403787
0.15071935055260746, 132.21966824345617
0.1561931457820468, 138.4440317342558
0.1618657372118677, 144.8493816848817
0.16774434468271637, 151.6976184449593
0.1738364502439674, 158.96177569439814
0.18014980767656838, 166.57378270631526
0.1866924523617326, 174.5502965343922
0.19347271150804102, 182.90877186815007
0.20049921474997057, 191.29739556707423
0.20778090513133704, 199.26030961825003
0.215327050487633, 207.67507214858904
0.22314725524174683, 216.15254127594775
0.23125147262807652, 225.23712391628064
0.2396500173605962, 234.6581586827919
0.24835357876099937, 244.2843113774384
0.25737323436362647, 252.59079922912176
0.2667204640144951, 260.3732759394005
0.2764071644823743, 268.55120983870427
0.286445664600502, 277.09309465818933
0.29684874095821584, 285.79617297485805
0.30762963416246963, 292.89842193394907
0.31880206568993263, 299.3081385413651
0.33038025535111926, 305.9763812506314
0.34237893938877834, 312.7931847743365
0.35481338923357547, 319.6382734501186
0.36769943094094104, 326.696297220767
0.38105346533382145, 333.9747167542396
0.3948924888769701, 341.3493076134749
0.4092341153093485, 351.32282897906805
0.4240965980621671, 363.1987792063031
0.43949885349110007, 375.47617842052716
0.4554604849522437, 388.0935777185204
0.47200180775246064, 401.29006410136617
0.4891438750058646, 414.8550830379401
0.5060871986919684, 430.68957364370954
0.5236174176295533, 450.54649159508483
0.5417548611260561, 471.2187143235674
0.5596123933458592, 492.83943138173225
0.5789966571661932, 516.2198715026071
0.6000245419615925, 540.9394574810825
0.620808631374834, 566.3608951034978
0.6412719643924004, 592.3469781974583
0.6634848122245312, 619.7888618396709
0.6864670849437778, 648.0885505033483
0.7067987530571936, 678.9423068431375
0.7253763306947708, 711.832241099146
0.744442203464997, 747.3078397587705
0.7640092057718629, 784.5514365893058
0.784090509360272, 823.432275064956
0.804699632182747, 864.46968700977
0.8258504474991899, 907.0700188496438
0.8475571932158205, 952.2756868244468
0.8698344814695815, 999.7342706432105
0.892697308464461, 1049.000326262132
0.9161610645663522, 1101.2793780100944
0.9402415446632512, 1155.8566353013707
0.9649549587977603, 1213.4610872136634
0.9903179430790581, 1273.2594187999182
1.0213037571352885, 1332.4586472492138
1.0583952627257696, 1395.1853736668513
1.0968338501979686, 1460.3004061318138
1.1366684426022513, 1527.8637024122213
1.1779497397665373, 1599.4801201741793
1.220730282824961, 1661.2364875592195
1.2650645210900537, 1710.4354545219762
1.3110088813535938, 1760.7511349365304
1.3586218397042937, 1813.2477517600967
1.4079639959537649, 1853.286591902295
1.459098150765452, 1848.635713609354
1.5120893855847402, 1841.1473988916746
1.5670051454719254, 1833.689417276887
1.5977952537779734, 1829.087718681499

