# Time [Myr], X [Lbox_x], Y [Lbox_y], Z [Lbox_z] (from Balsara & Kim (2004))
0.1010989,0.5000039125,0.56575,0.8777999999999999
0.2021978,0.22935,0.2664,0.1095
0.30329670000000003,0.33945,0.8396500000000001,0.9673
0.4043956,0.19175,0.7597,0.4155
0.5054945000000001,0.52673,0.7648499999999999,0.83555
0.6065934000000001,0.503849,0.19175,0.03345
0.7076923,0.7087,0.8433499999999999,0.79445
0.8087912,0.9652,0.4231,0.76345
0.9098901,0.54598,0.327,0.208
1.0109890000000001,0.85055,0.95515,0.3811
1.1120879000000001,0.13125,0.52373,0.36805
1.2131868000000001,0.68265,0.6234999999999999,0.491275
1.3142857000000001,0.5363399999999999,0.31585,0.94235
1.4153846,0.1364,0.7182,0.8832000000000001
1.5164835,0.73885,0.1189,0.1375
1.6175824,0.4488499999999999,0.454605,0.53028
1.7186813,0.45233,0.2523,0.7581
1.8197802,0.0454,0.473885,0.5368700000000001
1.9208791,0.9569,0.7648499999999999,0.23225
2.0219780000000003,0.97045,0.02505,0.8807499999999999
2.1230769,0.8851,0.9139,0.0627
2.2241758000000003,0.1347,0.2077,0.7686499999999999
2.3252747,0.73395,0.6436,0.0892
2.4263736000000002,0.8741,0.77725,0.94535
2.5274725,0.8124,0.42105,0.0799
2.6285714000000002,0.04955,0.63725,0.20715
2.7296703,0.4435,0.8260000000000001,0.0752
2.8307692,0.3407,0.6929,0.69385
2.9318681,0.7498499999999999,0.0738,0.7935500000000001
3.032967,0.92275,0.2951,0.2781

