x [cm],Bx [g * s^-2 * A^-1]
0.00621118012422364,-0.197633136094675
0.0124223602484473,-0.169230769230769
0.0198757763975156,-0.100591715976331
0.0273291925465839,-0.00118343195266263
0.0347826086956522,0.0887573964497043
0.0434782608695652,0.164497041420118
0.0484472049689441,0.188165680473373
0.0546583850931677,0.209467455621302
0.0633540372670808,0.209467455621302
0.0695652173913044,0.181065088757397
0.0732919254658386,0.105325443786982
0.075776397515528,0.01301775147929
0.0782608695652174,-0.0627218934911242
0.0807453416149069,-0.133727810650888
0.0832298136645963,-0.202366863905325
0.0857142857142857,-0.228402366863905
0.0894409937888199,-0.218934911242604
0.100621118012422,-0.143195266272189
0.11055900621118,-0.0698224852071005
0.124223602484472,-0.0295857988165679
0.130434782608696,-0.0106508875739644
0.135403726708075,-0.00591715976331358
0.141614906832298,0.0106508875739646
0.151552795031056,0.0390532544378699
0.163975155279503,0.0603550295857989
0.181366459627329,0.0840236686390533
0.192546583850932,0.0958579881656805
0.207453416149068,0.100591715976331
0.22360248447205,0.107692307692308
0.234782608695652,0.12189349112426
0.247204968944099,0.150295857988166
0.257142857142857,0.204733727810651
0.264596273291926,0.240236686390533
0.269565217391304,0.3301775147929
0.270807453416149,0.365680473372781
0.272049689440994,0.398816568047337
0.274534161490683,0.431952662721894
0.277018633540373,0.443786982248521
0.281987577639752,0.401183431952663
0.284472049689441,0.339644970414201
0.288198757763975,0.261538461538462
0.291925465838509,0.235502958579882
0.301863354037267,0.216568047337278
0.315527950310559,0.211834319526627
0.339130434782609,0.218934911242604
0.360248447204969,0.240236686390533
0.388819875776398,0.282840236686391
0.419875776397516,0.337278106508876
0.447204968944099,0.377514792899408
0.462111801242236,0.394082840236687
0.474534161490683,0.398816568047337
0.48944099378882,0.382248520710059
0.499378881987578,0.346745562130178
0.509316770186335,0.306508875739645
0.518012422360249,0.261538461538462
0.526708074534162,0.214201183431953
0.536645962732919,0.162130177514793
0.549068322981367,0.105325443786982
0.560248447204969,0.0485207100591717
0.570186335403727,-0.0248520710059171
0.577639751552795,-0.0863905325443786
0.583850931677019,-0.152662721893491
0.593788819875777,-0.218934911242604
0.6,-0.271005917159763
0.608695652173913,-0.30887573964497
0.618633540372671,-0.33491124260355
0.622360248447205,-0.33491124260355
0.627329192546584,-0.337278106508876
0.632298136645963,-0.339644970414201
0.638509316770186,-0.330177514792899
0.649689440993789,-0.330177514792899
0.657142857142857,-0.306508875739645
0.670807453416149,-0.294674556213018
0.675776397515528,-0.294674556213018
0.683229813664596,-0.263905325443787
0.690683229813665,-0.235502958579882
0.698136645962733,-0.190532544378698
0.704347826086957,-0.12189349112426
0.714285714285714,-0.0934911242603549
0.73167701863354,-0.0769230769230768
0.754037267080745,-0.0579881656804733
0.762732919254658,-0.0603550295857988
0.780124223602485,-0.050887573964497
0.790062111801242,-0.0698224852071005
0.796273291925466,-0.0958579881656804
0.807453416149068,-0.14792899408284
0.813664596273292,-0.188165680473373
0.827329192546584,-0.221301775147929
0.845962732919255,-0.247337278106509
0.872049689440994,-0.263905325443787
0.900621118012422,-0.27810650887574
0.91304347826087,-0.280473372781065
0.927950310559006,-0.301775147928994
0.939130434782609,-0.332544378698225
0.945341614906832,-0.349112426035503
0.95527950310559,-0.353846153846154
0.962732919254658,-0.323076923076923
0.967701863354037,-0.268639053254438
0.972670807453416,-0.197633136094675
0.975155279503105,-0.159763313609467
0.977639751552795,-0.138461538461538
0.980124223602484,-0.128994082840237
0.985093167701863,-0.138461538461538
0.986335403726708,-0.169230769230769
0.988819875776397,-0.190532544378698
0.993788819875776,-0.195266272189349
