x [cm],rho [g/cm^3]
0.00496894409937893,0.256744186046512
0.00993788819875782,0.253953488372093
0.0149068322981367,0.25953488372093
0.0298136645962734,0.260232558139535
0.0385093167701864,0.257441860465116
0.04472049689441,0.256744186046512
0.0509316770186336,0.249767441860465
0.0559006211180125,0.256046511627907
0.0621118012422361,0.251860465116279
0.067080745341615,0.262325581395349
0.0695652173913045,0.270697674418605
0.0732919254658386,0.273488372093023
0.0795031055900622,0.266511627906977
0.0832298136645963,0.256744186046512
0.0881987577639752,0.237906976744186
0.0906832298136647,0.235813953488372
0.0931677018633541,0.233720930232558
0.098136645962733,0.240697674418605
0.103105590062112,0.244186046511628
0.108074534161491,0.255348837209302
0.111801242236025,0.261627906976744
0.118012422360249,0.265116279069767
0.127950310559006,0.265116279069767
0.146583850931677,0.256046511627907
0.161490683229814,0.247674418604651
0.173913043478261,0.240697674418605
0.183850931677019,0.235116279069767
0.196273291925466,0.230232558139535
0.201242236024845,0.232325581395349
0.206211180124224,0.22953488372093
0.213664596273292,0.231627906976744
0.219875776397516,0.233023255813953
0.22360248447205,0.235813953488372
0.233540372670808,0.241395348837209
0.243478260869565,0.248372093023256
0.252173913043478,0.251860465116279
0.26583850931677,0.251162790697674
0.270807453416149,0.251162790697674
0.275776397515528,0.238604651162791
0.280745341614907,0.207209302325581
0.283229813664596,0.189767441860465
0.286956521739131,0.161860465116279
0.28944099378882,0.148604651162791
0.294409937888199,0.147906976744186
0.301863354037267,0.159767441860465
0.31055900621118,0.168139534883721
0.321739130434783,0.173023255813953
0.332919254658385,0.177906976744186
0.346583850931677,0.182790697674419
0.351552795031056,0.184883720930233
0.35527950310559,0.184186046511628
0.360248447204969,0.184186046511628
0.370186335403727,0.182093023255814
0.382608695652174,0.180697674418605
0.396273291925466,0.178604651162791
0.411180124223603,0.180697674418605
0.418633540372671,0.178604651162791
0.424844720496895,0.18
0.439751552795031,0.180697674418605
0.452173913043478,0.184186046511628
0.46583850931677,0.191860465116279
0.478260869565217,0.204418604651163
0.48944099378882,0.22046511627907
0.504347826086957,0.251860465116279
0.509316770186336,0.263720930232558
0.524223602484472,0.283953488372093
0.537888198757764,0.297209302325581
0.549068322981367,0.302790697674419
0.560248447204969,0.312558139534884
0.563975155279503,0.318837209302326
0.570186335403727,0.322325581395349
0.572670807453416,0.323023255813953
0.577639751552795,0.320930232558139
0.590062111801242,0.307674418604651
0.595031055900621,0.3
0.606211180124224,0.286046511627907
0.619875776397516,0.27
0.62360248447205,0.265116279069767
0.626086956521739,0.263023255813953
0.631055900621118,0.263023255813953
0.643478260869565,0.256744186046512
0.649689440993789,0.253953488372093
0.662111801242236,0.255348837209302
0.674534161490683,0.256744186046512
0.680745341614907,0.258837209302326
0.688198757763975,0.258139534883721
0.691925465838509,0.251162790697674
0.696894409937888,0.235116279069767
0.699378881987578,0.212093023255814
0.705590062111801,0.137441860465116
0.706832298136646,0.127674418604651
0.709316770186335,0.122093023255814
0.71304347826087,0.12
0.725465838509317,0.124186046511628
0.746583850931677,0.127674418604651
0.773913043478261,0.133255813953488
0.783850931677019,0.136046511627907
0.787577639751553,0.137441860465116
0.796273291925466,0.131860465116279
0.811180124223602,0.114418604651163
0.817391304347826,0.111627906976744
0.826086956521739,0.107441860465116
0.836024844720497,0.103255813953488
0.849689440993789,0.101162790697674
0.86832298136646,0.104651162790698
0.878260869565217,0.108837209302326
0.893167701863354,0.113023255813953
0.904347826086957,0.112325581395349
0.91304347826087,0.10953488372093
0.919254658385093,0.106744186046512
0.929192546583851,0.110232558139535
0.941614906832298,0.126279069767442
0.954037267080745,0.144418604651163
0.962732919254658,0.168139534883721
0.966459627329193,0.186976744186046
0.972670807453416,0.221860465116279
0.977639751552795,0.24
0.981366459627329,0.25046511627907
0.991304347826087,0.251860465116279
