0 0.000e+00 1.667e-02 0.000e+00 nan 0.000e+00 nan nan nan nan
1 1.667e-02 3.333e-02 0.000e+00 nan 0.000e+00 nan nan nan nan
2 3.333e-02 5.000e-02 0.000e+00 nan 0.000e+00 nan nan nan nan
3 5.000e-02 6.667e-02 0.000e+00 nan 0.000e+00 nan nan nan nan
4 6.667e-02 8.333e-02 0.000e+00 nan 0.000e+00 nan nan nan nan
5 8.333e-02 1.000e-01 0.000e+00 nan 0.000e+00 nan nan nan nan
6 1.000e-01 1.167e-01 0.000e+00 nan 0.000e+00 nan nan nan nan
7 1.167e-01 1.333e-01 0.000e+00 nan 0.000e+00 nan nan nan nan
8 1.333e-01 1.500e-01 0.000e+00 nan 0.000e+00 nan nan nan nan
9 1.500e-01 1.667e-01 0.000e+00 nan 0.000e+00 nan nan nan nan
10 1.667e-01 1.833e-01 0.000e+00 nan 0.000e+00 nan nan nan nan
11 1.833e-01 2.000e-01 0.000e+00 nan 0.000e+00 nan nan nan nan
12 2.000e-01 2.167e-01 0.000e+00 nan 0.000e+00 nan nan nan nan
13 2.167e-01 2.333e-01 0.000e+00 nan 0.000e+00 nan nan nan nan
14 2.333e-01 2.500e-01 0.000e+00 nan 0.000e+00 nan nan nan nan
15 2.500e-01 2.667e-01 0.000e+00 nan 0.000e+00 nan nan nan nan
16 2.667e-01 2.833e-01 0.000e+00 nan 0.000e+00 nan nan nan nan
17 2.833e-01 3.000e-01 7.481e+01 2.149e+00 7.135e-02 2.818e-01 5.957e+02 6.101e-02 2.423e+01
18 3.000e-01 3.167e-01 2.008e+02 1.740e+00 1.915e-01 2.797e-01 6.073e+02 6.245e-02 2.529e+01
19 3.167e-01 3.333e-01 2.410e+02 2.357e+00 2.299e-01 2.785e-01 6.079e+02 6.325e-02 2.565e+01
20 3.333e-01 3.500e-01 2.181e+02 1.347e+00 2.080e-01 2.784e-01 6.034e+02 6.330e-02 2.547e+01
21 3.500e-01 3.667e-01 4.957e+02 1.007e+00 4.727e-01 2.750e-01 6.195e+02 6.565e-02 2.712e+01
22 3.667e-01 3.833e-01 1.811e+02 1.986e+00 1.727e-01 2.713e-01 6.342e+02 6.838e-02 2.891e+01
