### Data from Figure 13 in Walther et al. (2019) (2019ApJ...872...13W)
# z ######### T_0/1e4K ##### T_0_lb/1e4K ## T_0_ub/1e4K ########
1.7793        0.77828        0.56109        1.1403 
1.9793        0.74208        0.65158        0.90950
2.1793        1.0226         0.87330        1.2715 
2.3793        1.1719         0.98190        1.4570 
2.5793        1.2398         1.0995         1.4299 
2.7793        1.2941         1.1493         1.4796 
2.9793        1.3032         1.1538         1.4887 
3.1793        1.1900         1.0724         1.3258 
3.3770        1.4118         1.2443         1.6109 
3.5770        1.0452         0.78281        1.3575 
3.7770        1.2081         1.0181         1.4344 
3.9770        0.95023        0.77828        1.1674 
4.1770        0.89593        0.82805        0.99095
4.5770        0.88688        0.77828        1.0136 
4.9770        0.54299        0.45701        0.66516
5.3747        0.61086        0.47511        0.76018
