### Data from Figure 6 in Schaye et al. (2000) (2000MNRAS.318..817S)
# z ########## z_lb ######### z_ub ######## T_0/1e4K ##### T_0_lb/1e4K ## T_0_ub/1e4K
1.95804        1.84615        2.08042        1.09915        0.76847        2.27999
2.20979        2.09790        2.32867        1.40112        0.90638        1.98188
2.28322        2.22378        2.37762        1.19902        1.01236        1.36980
2.49650        2.33217        2.62238        1.39889        1.15520        1.74657
2.59441        2.48601        2.70629        1.60171        1.44953        1.76021
2.65385        2.54895        2.87762        2.29650        1.57475        2.44105
2.83916        2.70629        2.94056        1.72395        1.43950        2.30056
3.00000        2.88462        3.13636        2.28574        1.89278        2.71473
3.07343        2.90210        3.21329        2.01108        1.88150        2.13172
3.23427        3.14685        3.41259        2.26386        1.40872        3.34756
3.36014        3.22378        3.51748        1.53842        1.39604        1.69997
3.54545        3.43007        3.69930        1.08649        0.88238        1.39077
3.72028        3.61189        3.81469        1.25736        1.08243        1.62749
3.83217        3.68531        4.01399        1.32092        1.03191        1.74809
3.90909        3.81469        4.00350        1.55086        1.14616        2.01291
4.30420        4.14685        4.42657        1.15002        0.92882        2.01412
