# R [h^-1 Mpc], kT [keV]
0.020903674110940202, 4.081130446432558
0.02152658531207827, 4.109328097414295
0.02216805872206269, 4.138984247584739
0.022828647478478115, 4.167668064962712
0.023508921201925326, 4.196351882340684
0.024209466487200678, 4.225521866114892
0.02493088740911227, 4.255664182681572
0.02567380604336903, 4.2872649984369655
0.026438863002991773, 4.326158310135911
0.027226717990708957, 4.365537788231091
0.02803805036781311, 4.402486434345089
0.028873559739969072, 4.4423520788365085
0.029733966560478328, 4.481245390535452
0.030620012751520577, 4.518680203045687
0.0315324623439073, 4.5580596811408665
0.03247210213589987, 4.596952992839812
0.03343974237165944, 4.636332470934994
0.034436217439914374, 4.673767283445228
0.035462386593447165, 4.712660595144172
0.03651913469002152, 4.752040073239355
0.03760737295538841, 4.789474885749588
0.038728039769028985, 4.831285195825954
0.03988210147331202, 4.882332667430818
0.04107055320676348, 4.934838638224393
0.0422944197621668, 4.987830775414205
0.04355475647023386, 5.04033674620778
0.0448526501096085, 5.092842717001355
0.04618921984398736, 5.145834854191168
0.0475656181871662, 5.20660565372077
0.04885244946031935, 5.317883739970526
0.05004033666675292, 5.4289997707548725
0.05125710832075868, 5.5424926150319305
0.05250346677126926, 5.654202849189456
0.053780131445405194, 5.768289896839693
0.05508783926374505, 5.880000130997217
0.05650270984832897, 5.999494429343377
0.05795391982828354, 6.117681480268546
0.059521794256896896, 6.230472084195485
0.06129549165371255, 6.338401024160056
0.063122043681252, 6.446329964124628
0.06500302536127163, 6.553772737692961
0.06694005864979798, 6.661215511261297
0.06893481383572848, 6.769144451225866
0.07098901098110824, 6.876587224794202
0.07310442140432678, 6.959235512154459
0.07528286920751173, 6.9859746639474825
0.07752623284943862, 7.012713815740508
0.0798364467653109, 7.037508301948584
0.08221550303480891, 7.0623027881566625
0.08466545309984463, 7.088555773553449
0.08718840953350437, 7.113350259761527
0.08978654786170424, 7.131824582818526
0.09246210843912943, 7.120156589308842
0.09521739838107475, 7.108488595799159
0.09805479355285251, 7.095848269497002
0.10097674061848276, 7.0836941095910815
0.10398575915043295, 7.07153994968516
0.10708444380222581, 7.057927290590531
0.11027546654578914, 7.04723162987332
0.11356157897547672, 7.037508301948584
0.11694561468074673, 7.0302158060050335
0.12043049168954437, 7.0238956428539545
0.12401921498449475, 7.016116980514164
0.12771487909407636, 7.0068798189856665
0.13152067076100907, 7.0005596558345875
0.13543987169015806, 6.994725659079746
0.1394758613783224, 6.994725659079746
0.14363212002834927, 6.9981288238534045
0.14791223155008607, 7.005421319796955
0.15231988665075832, 7.005421319796955
0.15685888601743814, 7.011741482948034
0.16153314359434728, 7.016116980514164
0.16634668995782134, 7.018061646099111
0.17130367579184458, 7.031674305193743
0.17640837546715274, 7.046259297080848
0.1816651907269902, 7.062788954552898
0.18707865448269914, 7.076887780043766
0.19265343472241417, 7.093903603912054
0.19839433853623256, 7.108488595799159
0.2043063162613311, 7.1240459204787365
0.21039446575060364, 7.136686246780893
0.2166640367685005, 7.148354240290577
0.22312043551785982, 7.160022233800261
0.2297692293016349, 7.171204060913706
0.23661615132353644, 7.182385888027153
0.24366710563173016, 7.194053881536837
0.250928172209852, 7.2052357086502825
0.25840561221973113, 7.206694207838994
0.2661058734003419, 7.19502621432931
0.2740355956276391, 7.1843305536121
0.28220161664007254, 7.173634892894891
0.2906109779347156, 7.162939232177681
0.2992709308390943, 7.151757405064234
0.30818894276395126, 7.140575577950788
0.3173727036423364, 7.1240459204787365
0.3268301325605771, 7.0963344358932385
0.3365693845868452, 7.06862295130774
0.34659885780321, 7.040425300326005
0.3569272005472392, 7.012713815740508
0.36756331886939425, 6.985002331155011
0.378516384212649, 6.956804680173276
0.3897958413209542, 6.923259198832936
0.4014114163833679, 6.870753228039359
0.4133731254208731, 6.817761090849547
0.4256912829231158, 6.764768953659736
0.4383765107425098, 6.710804483677451
0.4514397472533784, 6.658298512883874
0.46489225678403046, 6.604820209297825
0.47874563932990405, 6.550855739315541
0.493011840556153, 6.496405102937018
0.5077031620983022, 6.440495967369785
0.5228322721698535, 6.385072998198789
0.5384122164859879, 6.330622361820266
0.5544564295127864, 6.274227059856797
0.5709787460516657, 6.219290257082038
0.5879934131690222, 6.167270452684699
0.6055151024813665, 6.1381004689104905
0.6235589228065459, 6.114278315494888
0.6421404331919619, 6.089483829286811
0.6612756563310167, 6.066147842267442
0.680981092379359, 6.042325688851841
0.7012737331828403, 6.018503535436237
0.7221710769294537, 5.996626047605579
0.7436911432378863, 6.017045036247527
0.7658524886956978, 6.051562850380341
0.788674222860523, 6.086080664513153
0.8121760247380967, 6.120112312249729
0.8363781597513082, 6.15511629277878
0.8613014972149204, 6.189147940515355
0.8869675283310184, 6.22512425383688
0.9133983847207084, 6.307286374800901
0.9406168575080436, 6.415215314765472
0.9686464169726356, 6.524602753918753
0.9975112327878959, 6.633504026675798
1.0272361948623585, 6.741432966640369
1.0578469348020576, 6.850334239397414
1.0893698480124634, 6.959235512154459
1.1173491148395036, 6.946595185852301
1.1414672306212095, 6.8195842148354355
1.1645505564461764, 6.703650892418537
1.188100684923771, 6.584948157851647
1.21212705597258, 6.468346356639923
1.2366393004099834, 6.350312100867857
1.2616472438126052, 6.233041820861308
1.287160910454834, 6.1156760438840685
1.313190527326989, 5.997737285082694
1.3379595395016624, 5.889252726379565
1.3613774715763878, 5.7763116423776015
1.381512499983937, 5.647072408711315
