# Time [Myr], X [Lbox_x], Y [Lbox_y], Z [Lbox_z] (from Balsara & Kim (2004))
0.03196931959337846,0.5000039125,0.56575,0.8777999999999999
0.06393863918675692,0.22935000000000003,0.2664,0.10950000000000001
0.09590795878013539,0.33945000000000003,0.8396500000000001,0.9673
0.12787727837351384,0.19175,0.7597,0.41550000000000004
0.1598465979668923,0.52673,0.7648499999999999,0.83555
0.19181591756027078,0.503849,0.19175,0.03345000000000001
0.22378523715364923,0.7087,0.8433499999999999,0.79445
0.2557545567470277,0.9652,0.4231,0.76345
0.28772387634040614,0.54598,0.32700000000000007,0.20800000000000002
0.3196931959337846,0.85055,0.9551499999999999,0.38110000000000005
0.35166251552716304,0.13125000000000003,0.52373,0.36805000000000004
0.38363183512054155,0.68265,0.6234999999999999,0.491275
0.41560115471392,0.5363399999999999,0.31585,0.9423499999999999
0.44757047430729846,0.1364,0.7182,0.8832000000000001
0.4795397939006769,0.73885,0.11890000000000005,0.13750000000000004
0.5115091134940554,0.44884999999999997,0.454605,0.53028
0.5434784330874338,0.45233,0.2523,0.7581
0.5754477526808123,0.045400000000000024,0.473885,0.5368700000000001
0.6074170722741907,0.9569,0.7648499999999999,0.23225
0.6393863918675692,0.9704499999999999,0.025050000000000003,0.8807499999999999
0.6713557114609476,0.8851,0.9138999999999999,0.06270000000000005
0.7033250310543261,0.13470000000000001,0.20770000000000002,0.7686499999999999
0.7352943506477045,0.73395,0.6436,0.08920000000000004
0.7672636702410831,0.8741,0.77725,0.94535
0.7992329898344616,0.8124,0.42105000000000004,0.07990000000000004
0.83120230942784,0.04955000000000001,0.63725,0.20715000000000003
0.8631716290212185,0.4435,0.8260000000000001,0.07520000000000006
0.8951409486145969,0.3407,0.6929,0.69385
0.9271102682079754,0.7498499999999999,0.07380000000000005,0.7935500000000001
0.9590795878013538,0.92275,0.2951,0.2781
